flight_no,origin,destination,departure,arrival,base_price,bag_price,bags_allowed
JT808,WUE,JBN,2021-09-01T00:05:00,2021-09-01T01:15:00,36.0,11,2
JT465,WUE,NNB,2021-09-01T00:15:00,2021-09-01T03:30:00,71.0,11,1
YL471,EZO,JBN,2021-09-01T00:20:00,2021-09-01T02:55:00,31.0,10,1
JT457,NNB,ZRW,2021-09-01T00:30:00,2021-09-01T03:30:00,77.0,11,2
CC515,WUE,JBN,2021-09-01T00:45:00,2021-09-01T01:55:00,18.0,9,2
JT704,JBN,ZRW,2021-09-01T01:45:00,2021-09-01T06:35:00,198.0,11,2
CC229,BPZ,VVH,2021-09-01T02:00:00,2021-09-01T06:15:00,126.0,9,2
CC300,BPZ,ZRW,2021-09-01T02:40:00,2021-09-01T05:50:00,75.0,9,2
CC329,EZO,NNB,2021-09-01T02:45:00,2021-09-01T05:35:00,60.0,9,2
JT755,WUE,EZO,2021-09-01T02:55:00,2021-09-01T06:10:00,76.0,11,1
CC156,WUE,EZO,2021-09-01T03:30:00,2021-09-01T06:45:00,64.0,9,2
CC515,JBN,WUE,2021-09-01T03:55:00,2021-09-01T05:05:00,18.0,9,2
JT459,NNB,JBN,2021-09-01T04:00:00,2021-09-01T06:05:00,33.0,11,1
YL826,VVH,ZRW,2021-09-01T04:20:00,2021-09-01T07:50:00,100.0,10,2
CC118,VVH,WTN,2021-09-01T04:40:00,2021-09-01T09:25:00,193.0,9,2
CC535,WUE,ZRW,2021-09-01T04:45:00,2021-09-01T10:45:00,350.0,9,2
JT512,NNB,VVH,2021-09-01T04:55:00,2021-09-01T06:45:00,27.0,11,1
YL471,JBN,EZO,2021-09-01T04:55:00,2021-09-01T07:30:00,31.0,10,1
CC366,NNB,ZRW,2021-09-01T05:25:00,2021-09-01T08:25:00,42.0,9,1
YL302,WUE,NNB,2021-09-01T05:50:00,2021-09-01T09:05:00,62.0,10,2
JT808,JBN,WUE,2021-09-01T06:15:00,2021-09-01T07:25:00,36.0,11,2
YL568,BPZ,NNB,2021-09-01T06:35:00,2021-09-01T08:55:00,54.0,10,2
CC742,ZRW,WTN,2021-09-01T06:55:00,2021-09-01T10:35:00,95.0,9,2
JT465,NNB,WUE,2021-09-01T07:30:00,2021-09-01T10:45:00,71.0,11,1
JT467,NNB,WTN,2021-09-01T08:15:00,2021-09-01T11:05:00,45.0,11,1
CC131,JBN,WTN,2021-09-01T08:20:00,2021-09-01T13:00:00,176.0,9,2
